GeneIndex,Weight
1047; -0,1357852
1048; 0,3084817
1049; -0,7008166
1050; 0,7920089
1051; 0,2718165
1052; -0,2375597
1053; -0,7985017
1054; -0,3424398
1055; -0,6346097
1056; 0,1989807
1057; -0,761903
1058; -0,3925964
1059; 0,8964407
1060; -0,5772822
1061; -0,8168712
1062; 0,9909158
1063; -0,1884199
1064; -0,3419911
1065; 0,9083054
1066; 0,4381771
1067; -0,8574439
1068; 0,4820006
1069; 0,5171666
1070; -0,5235431
1071; -0,7165496
1072; 0,6719716
1073; 0,4167628
1074; 0,06827605
1075; -0,3773464
1076; -0,06900394
1077; -0,4213041
1078; 0,01523411
1079; 0,3070945
1080; -0,4692293
1081; 0,5968206
1082; -0,214444
1083; -0,2770797
1084; 0,8026333
1085; -0,9069436
1086; -0,9882991
1087; -0,1726462
1088; 0,8233361
1089; -0,1009749
1090; -0,1562561
1091; 0,8802967
1092; -0,3240577
1093; -0,2091874
1094; -0,06012142
1095; -0,8088973
1096; -0,5072744
1097; 0,5302348
1098; -0,961787
1099; -0,0111326
1100; -0,5738733
1101; -0,7523851
1102; -0,8561549
1103; 0,525465
1104; 0,1932126
1105; -0,7231824
1106; 0,3106596
1107; -0,9373772
1108; 0,6141336
1109; -0,2019209
1110; -0,3215274
1111; 0,8687649
1112; 0,6284297
1113; -0,8838391
1114; 0,1104498
1115; 0,5549121
1116; -0,1327442
1117; -0,3161181
1118; 0,8868716
1119; -0,2920917
1120; 0,6432316
1121; 0,5707767
1122; 0,04202354
1123; 0,526885
1124; -0,4217032
1125; 0,3642103
1126; 0,1305462
1127; 0,5530062
1128; -0,4078976
1129; 0,06129801
1130; -0,3401092
1131; -0,3590091
1132; 0,9189875
1133; 0,2760324
1134; -0,5829356
1135; 0,0575217
1136; 0,6513233
1137; 0,05918324
1138; 0,666311
1139; -0,04396474
1140; -0,4140171
1141; -0,7141857
1142; -0,1868175
1143; -0,9931939
1144; 0,08998859
1145; -0,3283833
1146; -0,8919263
1147; -0,3446254
1148; -0,1528357
1149; 0,360136
1150; -0,1238226
1151; 0,09814608
1152; -0,1236819
1153; -0,01755416
1154; 0,3352637
1155; 0,08005202
1156; -0,08464515
1157; -0,389227
1158; 0,2695524
1159; 0,3542254
1160; -0,3173975
1161; 0,7829413
1162; -0,9886739
1163; 0,1839958
1164; -0,3632721
1165; -0,1733947
1166; -0,151801
1167; -0,08818829
1168; -0,1196107
1169; 0,8779316
1170; -0,7007706
1171; -0,8498988
1172; 0,8178165
1173; -0,06106818
1174; 0,7209382
1175; -0,4545263
1176; -0,1003606
1177; 0,4124498
1178; -0,530257
1179; -0,8882151
1180; 0,2721915
1181; 0,6416137
1182; 0,6792703
1183; 0,4308994
1184; -0,5173478
1185; -0,7994928
1186; -0,3812662
1187; 0,6185098
1188; 0,06603515
1189; 0,5061362
1190; 0,0309962
1191; -0,2836612
1192; -0,1441396
1193; 0,7059422
1194; 0,03479087
1195; 0,8417695
1196; 0,1174279
1197; -0,4611894
1198; -0,5573165
1199; 0,3679173
1200; -0,1623477
1201; -0,7427952
1202; 0,9743204
1203; 0,1703948
1204; -0,2958962
1205; 0,7013633
1206; 0,6138144
1207; 0,1719633
1208; -0,3778802
1209; 0,4965419
1210; -0,4631106
1211; 0,6672738
1212; -0,2591861
1213; 0,6299086
1214; -0,06900704
1215; 0,6995087
1216; -0,4213754
1217; 0,633075
1218; 0,3278877
1219; 0,8116126
1220; -0,6492317
1221; -0,8141685
1222; -0,3943971
1223; -0,01034129
1224; -0,4193727
1225; -0,9988267
1226; 0,3002619
1227; -0,331426
1228; 0,4266164
1229; 0,1509985
1230; 0,9855757
1231; -0,1838905
1232; 0,7354448
1233; -0,882755
1234; -0,3147813
1235; -0,04134953
1236; 0,05850875
1237; -0,27031
1238; 0,1124851
1239; -0,0433706
1240; -0,7951535
1241; -0,3253223
1242; 0,8783791
1243; 0,9835398
1244; -0,9851141
1245; 0,282536
1246; -0,02949297
1247; 0,4182841
1248; 0,3724758
1249; -0,2384771
1250; 0,9851019
1251; 0,719737
1252; 0,4145813
1253; 0,1225029
1254; 0,92364
1255; -0,4501928
1256; 0,7031231
1257; 0,4401118
1258; -0,231233
1259; -0,5053716
1260; 0,6432617
1261; 0,212377
1262; 0,08350384
1263; -0,1991676
1264; 0,5868869
1265; -0,8899872
1266; -0,6272538
1267; -0,4171191
1268; 0,8150987
1269; 0,9125869
1270; -0,3539361
1271; -0,06367695
1272; -0,1820563
1273; -0,5178921
1274; -0,4018623
1275; -0,9134371
1276; -0,3419324
1277; -0,5064702
1278; -0,7046027
1279; 0,4513058
1280; 0,05232012
1281; 0,7846947
1282; -0,1372048
1283; 0,789484
1284; 0,4865341
1285; -0,217487
1286; 0,2457992
1287; 0,05606139
1288; -0,8856955
1289; -0,6874888
1290; 0,3061347
1291; 0,2712216
1292; -0,910362
1293; -0,1859273
1294; 0,7804573
1295; 0,3251254
1296; 0,4104559
1297; -0,1750692
1298; -0,4553612
1299; -0,01850617
1300; -0,8247428
1301; -0,4568421
1302; -0,270296
1303; 0,2092184
1304; -0,4096373
1305; -0,2793981
1306; 0,6843822
1307; 0,1247503
1308; -0,3220145
1309; -0,6023083
1310; -0,7154634
1311; -0,8128765
1312; 0,3568916
1313; 0,3686053
1314; -0,6794989
1315; 0,4498996
1316; 0,4956767
1317; 0,6113906
1318; 0,6657798
1319; -0,3764597
1320; -0,5694993
1321; 0,04458034
1322; 0,3384824
1323; 0,8115661
1324; 0,3782799
1325; 0,8356256
1326; -0,5440257
1327; -0,8376021
